"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT03360708","Vaccine Therapy in Treating Patients With Recurrent Glioblastoma",,"Recruiting","No Results Available","Giant Cell Glioblastoma|Recurrent Glioblastoma|Recurrent Gliosarcoma","Other: Laboratory Biomarker Analysis|Biological: Malignant Glioma Tumor Lysate-Pulsed Autologous Dendritic Cell Vaccine","Incidence of significant toxicity, defined as a dose limiting toxicity (DLT) that is possibly, probably, or definitely related to treatment as assessed by National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 4.0|Clinical benefit rate|Duration of response|Feasibility|Overall response rate|Overall survival|Progression-free survival|Time to response","Mayo Clinic|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","20","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MC1772|NCI-2017-02159|P30CA015083","June 3, 2019","December 1, 2022","December 1, 2022","December 4, 2017",,"June 5, 2019","Mayo Clinic, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT03360708"
12,"NCT03022578","Laser Interstitial Thermal Therapy and Lomustine in Treating Patients With Recurrent Glioblastoma or Anaplastic Astrocytoma",,"Recruiting","No Results Available","IDH Family Wildtype|Recurrent Anaplastic Astrocytoma|Recurrent Glioblastoma","Procedure: Laser Interstitial Thermal Therapy|Drug: Lomustine","Disease control rate|Clinical characteristics|Length of hospital stay|Biomarkers in peripheral blood and tumor tissue|Inflammatory/immunologic profile|Overall survival (OS)|Time to progression (TTP)|Incidence of toxicity|Long-term steroid requirements|MD Anderson Symptom Inventory-Brain Tumor Module (MDASI-BT) data","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 2","34","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2016-0443|NCI-2018-01286|P30CA016672","November 7, 2017","November 1, 2021","November 1, 2021","January 16, 2017",,"September 27, 2019","M D Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03022578"
13,"NCT04003649","IL13Ralpha2-Targeted Chimeric Antigen Receptor (CAR) T Cells With or Without Nivolumab and Ipilimumab in Treating Patients With Recurrent or Refractory Glioblastoma",,"Recruiting","No Results Available","Recurrent Glioblastoma|Refractory Glioblastoma","Biological: IL13Ralpha2-specific Hinge-optimized 4-1BB-co-stimulatory CAR/Truncated CD19-expressing Autologous TN/MEM Cells|Biological: Ipilimumab|Biological: Nivolumab|Other: Quality-of-Life Assessment|Other: Questionnaire Administration","Incidence of adverse events|Dose-limiting toxicity (DLT)|DLT|Feasibility (neoadjuvant therapy)|Feasibility (adjuvant therapy)|Survival|T cell levels|Cytokine levels in TCF, PB, and CSF|Disease response|Time to progression|Overall survival (OS)|Quality of life|Area under the curve (AUC) for CD3, IFNgamma, and IP-10 levels over time for the DLT evaluation period|CAR T and endogenous cells detected in tumor tissue|IL13Ralpha2 antigen expression levels in tumor tissue|PD‐L1 levels on tumor cells|Biomathematical modeling of tumor growth|Progression free survival (PFS)","City of Hope Medical Center|National Cancer Institute (NCI)","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","60","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","18251|NCI-2018-02764|R01CA236500","September 26, 2019","January 22, 2022","January 22, 2022","July 1, 2019",,"April 16, 2020","City of Hope Medical Center, Duarte, California, United States",,"https://ClinicalTrials.gov/show/NCT04003649"
14,"NCT04013672","Study of Pembrolizumab Plus SurVaxM for Glioblastoma at First Recurrence",,"Recruiting","No Results Available","Recurrent Glioblastoma","Drug: Pembrolizumab|Drug: SurVaxM|Drug: Sargramostim|Drug: Montanide ISA 51","Progression free survival (PFS)|Safety and tolerability of Pembrolizumab and SurVaxM as measure by CTCAE v 5 grading as per NCI","Manmeet Ahluwalia, MD|Case Comprehensive Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","51","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CASE6318","March 16, 2020","December 31, 2020","December 31, 2021","July 10, 2019",,"March 18, 2020","Cleveland Clinic, Case Comprehensive Cancer Center, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04013672"
15,"NCT03750071","VXM01 Plus Avelumab Combination Study in Progressive Glioblastoma",,"Recruiting","No Results Available","Recurrent Glioblastoma","Biological: VXM01|Biological: Avelumab","Treatment-emerging adverse events (safety and tolerability of VXM01 in combination with avelumab)|Clinical response as assessed by time to progression (TTP)|Clinical response as assessed by progression free survival (PFS)|Clinical response as assessed by recurrence-free survival after re-operation (RFS)|Clinical response as assessed by Overall Survival (OS)|Best overall response (OR) on MRI according to iRANO in subjects with or without surgery prior to trial entry (up to re-operation)|Duration of Response (DoR) on MRI according to iRANO in subjects with or without surgery prior to trial entry (up to re-operation)","Vaximm GmbH|Merck KGaA, Darmstadt, Germany|Pfizer","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","30","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","VXM01-AVE-04-INT","November 21, 2018","December 31, 2020","December 31, 2020","November 21, 2018",,"July 19, 2019","CHU La Timone, Marseille, France|Neurology Clinic and National Center for Tumor Diseases, Heidelberg, Germany|Neurology Clinic, Mannheim, Germany|UMC, Utrecht, Netherlands",,"https://ClinicalTrials.gov/show/NCT03750071"
16,"NCT03732352","18F-FDG PET and Osimertinib in Evaluating Glucose Utilization in Patients With EGFR Activated Recurrent Glioblastoma",,"Recruiting","No Results Available","EGFR Gene Amplification|EGFR Gene Mutation|Glioblastoma|Recurrent Glioblastoma|Supratentorial Glioblastoma|TP53 wt Allele","Other: Fludeoxyglucose F-18|Drug: Osimertinib|Procedure: Positron Emission Tomography","Intrapatient variance of tumor fludeoxyglucose F-18 (FDG) uptake as determined by a double baseline FDG positron emission tomography (PET) prior to osimertinib exposure|Change in FDG uptake in tumor after short course exposure to osimertinib|Incidence and severity of adverse events (AEs) assessed by the National Cancer Institute Common Terminology Criteria for Adverse Events version 4.03|Percentage of participants surviving 6 months from the start of study treatment without progression of disease determined by progression free survival (PFS) according to Response Assessment in Neuro-oncology criteria|Correlation between the reduction in glucose uptake and 6 months PFS|Concentrations of osimertinib and metabolites AZ5104 and AZ7550 in post-dosing plasma samples.","Jonsson Comprehensive Cancer Center|National Cancer Institute (NCI)|Translational Research in Oncology|AstraZeneca","All","18 Years and older   (Adult, Older Adult)","Phase 2","12","Other|NIH|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","18-001000|NCI-2018-02010|P30CA016042","November 28, 2018","November 1, 2020","November 1, 2021","November 6, 2018",,"November 12, 2019","UCLA / Jonsson Comprehensive Cancer Center, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT03732352"
17,"NCT04277221","ADCTA for Adjuvant Immunotherapy in Standard Treatment of Recurrent Glioblastoma Multiforme (GBM)",,"Recruiting","No Results Available","Glioblastoma Multiforme","Biological: Autologous Dendritic Cell/Tumor Antigen, ADCTA","Overall Survival (OS)|Progression-free Survival (PFS)|Progression-free Survival at 6 months (PFS6)|1 and 2-year Survival Rate","Safe Save Medical Cell Sciences & Technology Co.,Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","118","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ADCTA-SSI-G1","September 19, 2019","December 31, 2022","December 31, 2022","February 20, 2020",,"March 17, 2020","Chang Gung Memorial Hospital, Chiayi branch, Chiayi City, Taiwan|Chang Gung Memorial Hospital, Kaohsiung branch, Kaohsiung City, Taiwan|Chang Gung Memorial Hospital, Keelung branch, Keelung, Taiwan|Taichung Veterans General Hospital, Taichung City, Taiwan|National Cheng Kung University Hospital, Tainan City, Taiwan|Chi Mei Medical Center, Tainan City, Taiwan|Chang Gung Memorial Hospital, Linkou branch, Taoyuan City, Taiwan",,"https://ClinicalTrials.gov/show/NCT04277221"
18,"NCT03539731","[18F]DASA-23 and PET Scan in Evaluating Pyruvate Kinase M2 Expression in Patients With Intracranial Tumors or Recurrent Glioblastoma and Healthy Volunteers",,"Recruiting","No Results Available","Healthy Subject|Intracranial Neoplasm|Recurrent Glioblastoma","Drug: Fluorine F 18 DASA-23|Procedure: Positron Emission Tomography","Change in [18F]DASA-23 PET scan signal in patients with suspected recurrent glioblastoma|Sensitivity of [18F]DASA-23 PET imaging in identifying intracranial tumors in patients with intracranial tumors.|Specificity of [18F]DASA-23 PET imaging in identifying intracranial tumors in patients with intracranial tumors.|Accuracy of [18F]DASA-23 PET imaging in identifying intracranial tumors in patients with intracranial tumors.|Progression-free survival in patients with suspected recurrent glioblastoma|Overall survival in patients with suspected recurrent glioblastoma","Sanjiv Sam Gambhir|Stanford University","All","18 Years and older   (Adult, Older Adult)","Phase 1","25","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","BRN0038|NCI-2018-00826|44597","April 23, 2018","April 23, 2020","April 23, 2020","May 29, 2018",,"October 10, 2018","Stanford University, School of Medicine, Palo Alto, California, United States",,"https://ClinicalTrials.gov/show/NCT03539731"
19,"NCT03107780","Testing the Ability of AMG 232 (KRT 232) to Get Into the Tumor in Patients With Brain Cancer",,"Recruiting","No Results Available","Glioblastoma|Gliosarcoma|Recurrent Glioblastoma","Other: Laboratory Biomarker Analysis|Drug: MDM2 Inhibitor KRT-232|Other: Pharmacological Study|Radiation: Radiation Therapy","Pharmacokinetics (PK) parameters with target inter-tumor drug concentration at >= 25 nm (Part 1)|Maximum tolerated dose (MTD) of MDM2 inhibitor AMG 232 (KRT-232) when combined with concomitant radiation therapy (Part 2)|Incidence of adverse events (Part 1)|Variability of MDM2 inhibitor AMG 232 (KRT-232) concentration in tumor enhancing versus (vs.) infiltrative tissue (Part 1)|p21 elevation in tissue (Part 1)|Incidence of adverse events (Part 2)|MIC-1 elevation in serum (Part 2)|MDM2 inhibitor AMG 232 (KRT-232) exposure (Part 2)","National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","86","NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NCI-2017-00568|ABTC-1604|UM1CA137443","February 26, 2018","June 30, 2020","June 30, 2020","April 11, 2017",,"May 5, 2020","University of Alabama at Birmingham Cancer Center, Birmingham, Alabama, United States|UCLA / Jonsson Comprehensive Cancer Center, Los Angeles, California, United States|Johns Hopkins University/Sidney Kimmel Cancer Center, Baltimore, Maryland, United States|Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Henry Ford Hospital, Detroit, Michigan, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States|University of Pennsylvania/Abramson Cancer Center, Philadelphia, Pennsylvania, United States|University of Pittsburgh Cancer Institute (UPCI), Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03107780"
20,"NCT02981940","A Study of Abemaciclib in Recurrent Glioblastoma",,"Recruiting","No Results Available","Glioblastoma","Drug: Abemaciclib|Procedure: Surgery","Intratumoral abemaciclib concentration|6-Month Progression Free Survival (PFS6)|pRB expression level of tumor tissue|Incidence of Treatment-Emergent Adverse Events|Area under the plasma concentration versus time curve (AUC)|Peak Plasma Concentration (Cmax)|Radiographic Response Rate|Median Progression Free Survival|Overall Survival","Dana-Farber Cancer Institute|Eli Lilly and Company","All","18 Years and older   (Adult, Older Adult)","Phase 2","42","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","16-383","February 9, 2017","April 2020","April 2022","December 5, 2016",,"March 23, 2020","University of California Los Angeles, Los Angeles, California, United States|University of California, San Francisco, San Francisco, California, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States|UT, M.D. Anderson Cancer Center, Houston, Texas, United States|Huntsman Cancer Institute, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT02981940"
21,"NCT03643549","Bortezomib and Temozolomide in Recurrent Glioblastoma With Unmethylated MGMT Promoter (BORTEM-17)","BORTEM-17","Recruiting","No Results Available","Glioblastoma","Drug: Bortezomib and Temozolomide Phase IB|Drug: Bortezomib and Temozolomide Phase II","Bortezomib-Temozolomide Maximum tolerated dose|Overall survival|Progression free survival|Time to progression|Biomarkers of treatment response|Tumour responses|Clinical response","Haukeland University Hospital|Oslo University Hospital|St. Olavs Hospital|University Hospital of North Norway|University of Bergen|University of Bonn|University of Oslo","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","63","Other","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BORTEM-17","August 30, 2018","December 31, 2022","August 30, 2023","August 22, 2018",,"February 12, 2020","Haukeland University Hospital, Bergen, Norway|Oslo University Hospital, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT03643549"
22,"NCT03618667","GC1118 in Recurrent Glioblastoma Patients With High EGFR Amplification",,"Recruiting","No Results Available","Glioblastoma, Adult|EGFR Amplification","Drug: GC1118","Progression-free survival|overall survival|overall response rate|Exploration of predictive/prognostic biomarkers","Samsung Medical Center","All","19 Years and older   (Adult, Older Adult)","Phase 2","23","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SMC2017-06-111","April 30, 2018","January 21, 2020","July 21, 2020","August 7, 2018",,"August 7, 2018","Samsung Medical Center, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03618667"
